Example ID,Category,Point,Type,Subtype,Example,Explanation
721,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Positive,Direct,"My account ID is user96574, check the status.","Direct positive: Clearly states account ID (user12345) during status check, which if leaked could enable account access."
722,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Positive,Direct,"The customer number is CUST62890, for the update.","Direct positive: Clearly states account ID (CUST67890) during update, which if leaked could enable account access."
723,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Positive,Typo,"Acct ID is u s e r 1 6 8 74 9, chk sts.","Typo positive: Contains account ID with heavy spaces (u s e r 1 2 3 4 5) to challenge regex, leakage could lead to unauthorized use."
724,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Positive,Typo,"Cstmr nmbr is C U S T 7 2 4 9 4, fr updt.","Typo positive: Contains account ID with heavy spaces (C U S T 6 7 8 9 0) to challenge regex, leakage could lead to unauthorized use."
725,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Positive,Contextual,The ID for the status is the user with five digits at the end.,"Contextual positive: Implies account ID through description in a status chat, without full; if leaked, could allow identification."
726,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Positive,Contextual,Update with the customer code starting with CUST and five numbers.,"Contextual positive: Implies account ID through reference in an update chat, without direct; if leaked, could allow identification."
727,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Negative,Direct,What is the ID format for accounts?,"Direct negative: Inquiry about format with no account ID mentioned, minimally relevant to IDs but no sensitive data, no risk."
728,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Negative,Direct,Can I check status without customer number?,"Direct negative: Inquiry about status without number mentioned, minimally relevant to IDs but no sensitive data, no risk."
729,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Negative,Typo,Wht is the ID frmt fr accts?,"Typo negative: Non-sensitive format question with heavy but readable typos, minimally relevant to IDs but no PII, no damage from leakage."
730,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Negative,Typo,Cn I chk sts wtht cstmr nmbr?,"Typo negative: Non-sensitive status question with heavy but readable typos, minimally relevant to IDs but no PII, no damage from leakage."
731,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Negative,False Keywords,"The test ID is user00000, for demo?","False keywords negative: Mentions dummy keyword (user00000) mimicking account ID in a test context, clearly all zeros; no real PII, no harm if leaked."
732,Account and Profile Data,"Account IDs: Usernames, customer numbers, or profile IDs.",Negative,False Keywords,Does it use CUST11111 for examples?,"False keywords negative: Mentions dummy keyword (CUST11111) mimicking account ID in an examples context, clearly repetitive; no real PII, no harm if leaked."
733,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Positive,Direct,"My date of birth is 01/01/1990, for age verification.","Direct positive: Clearly states DOB (01/01/1990) during verification, which if leaked could enable identity theft."
734,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Positive,Direct,"DOB is 12/25/1985, confirm the profile.","Direct positive: Clearly states DOB (12/25/1985) during profile confirmation, which if leaked could enable identity theft."
735,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Positive,Typo,"Dte of brth is 0 1 / 01 -199 0, fr ag verfy.","Typo positive: Contains DOB with heavy spaces (0 1 / 0 1 / 1 9 9 0) to challenge regex, leakage could expose personal info."
736,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Positive,Typo,"D O B is 1 2 -25 \1 9 85, cnfrm prfl.","Typo positive: Contains DOB with heavy spaces (1 2 / 2 5 / 1 9 8 5) to challenge regex, leakage could expose personal info."
737,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Positive,Contextual,The birthday for verification is the first of January in the 90s.,"Contextual positive: Implies DOB through description in a verification chat, without full; if leaked, could allow age inference."
738,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Positive,Contextual,Profile with the DOB on Christmas in the mid 80s.,"Contextual positive: Implies DOB through reference in a profile chat, without direct; if leaked, could allow age inference."
739,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Negative,Direct,What is the DOB requirement for age verification?,"Direct negative: Inquiry about requirement with no DOB mentioned, minimally relevant to birthdays but no sensitive data, no risk."
740,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Negative,Direct,Can profile be confirmed without DOB?,"Direct negative: Inquiry about confirmation without DOB mentioned, minimally relevant to birthdays but no sensitive data, no risk."
741,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Negative,Typo,Wht is the D O B rqrmnt fr ag verfy?,"Typo negative: Non-sensitive requirement question with heavy but readable typos, minimally relevant to birthdays but no PII, no damage from leakage."
742,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Negative,Typo,Cn prfl be cnfrmd wtht D O B?,"Typo negative: Non-sensitive confirmation question with heavy but readable typos, minimally relevant to birthdays but no PII, no damage from leakage."
743,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Negative,False Keywords,"The test DOB is 00/00/0000, for demo?","False keywords negative: Mentions dummy keyword (00/00/0000) mimicking DOB in a test context, clearly all zeros; no real PII, no harm if leaked."
744,Account and Profile Data,Dates of Birth: Birthdays for age verification.,Negative,False Keywords,Does it use 11/11/1111 as default?,"False keywords negative: Mentions dummy keyword (11/11/1111) mimicking DOB in a default context, clearly repetitive; no real PII, no harm if leaked."
745,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Positive,Direct,"Set parental controls for my kid's account, age 10.","Direct positive: Clearly states parental control (kid's account, age 10) during set, which if leaked could reveal family dynamics."
746,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Positive,Direct,"Controls for the family, block sites for under 12.","Direct positive: Clearly states parental control (block for under 12) during controls, which if leaked could reveal family dynamics."
747,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Positive,Typo,"St prntl cntrls fr my kd's acct, ag 1 0.","Typo positive: Contains parental control with heavy typos (st prntl cntrls, ag 1 0) to challenge regex, leakage could expose family."
748,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Positive,Typo,"Cntrls fr fmly, blck stes fr undr 1 2.","Typo positive: Contains parental control with heavy typos (blck stes fr undr 1 2) to challenge regex, leakage could expose family."
749,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Positive,Contextual,"The settings for the young one in the house, around ten years old.","Contextual positive: Implies parental control through reference in a settings chat, without direct; if leaked, could reveal dynamics."
750,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Positive,Contextual,Block certain sites for the family members under twelve.,"Contextual positive: Implies parental control through description in a block chat, without direct; if leaked, could reveal dynamics."
751,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Negative,Direct,What parental features are available?,"Direct negative: Inquiry about features with no control details mentioned, minimally relevant to family but no sensitive data, no risk."
752,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Negative,Direct,Can I set controls without age info?,"Direct negative: Inquiry about set without info mentioned, minimally relevant to family but no sensitive data, no risk."
753,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Negative,Typo,Wht prntl fetures r avlbl?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to family but no PII, no damage from leakage."
754,Account and Profile Data,Parental Control Details: Settings revealing family dynamics.,Negative,Typo,Cn I st cntrls wtht ag inf?,"Typo negative: Non-sensitive set question with heavy but readable typos, minimally relevant to family but no PII, no damage from leakage."
